plan

{
target rectangle x 0 z 0 rot 0 width 32 height 32
floor		egyptian_camp_underlay.CAS roman_camp_overlay.CAS
ground_types	roman_camp_ground.tga -160 -160 160 160
street_plan	roman_camp_pathfinding.CAS
borders		

	{

	;WALLS

gateway,	-0.00,	96.00,	-180,	0.00
centurions_tent,	-44.00,	52.00,	90.00,	0.00
legionary_tent_both_flaps_closed,	-44.00,	20.10,	90.00,	0.00
legionary_tent_right_flap_open,	-44.00,	26.49,	90.00,	0.00
legionary_tent_both_flaps_closed,	-44.00,	45.77,	90.00,	0.00
legionary_tent_both_flaps_open,	-44.00,	32.94,	90.00,	0.00
legionary_tent_right_flap_open,	20.00,	26.49,	90.00,	0.00
centurions_tent,	20.00,	52.00,	90.00,	0.00
legionary_tent_left_flap_open,	20.00,	39.39,	90.00,	0.00
legionary_tent_both_flaps_closed,	20.00,	45.77,	90.00,	0.00
legionary_tent_both_flaps_open,	20.00,	32.94,	90.00,	0.00
legionary_tent_both_flaps_closed,	20.00,	20.10,	90.00,	0.00
legionary_tent_both_flaps_closed,	-20.00,	45.77,	-90.00,	0.00
legionary_tent_both_flaps_open,	-20.00,	20.10,	-90.00,	0.00
centurions_tent,	-20.00,	52.00,	-90.00,	0.00
legionary_tent_both_flaps_open,	-20.00,	39.39,	-90.00,	0.00
legionary_tent_left_flap_open,	-20.00,	32.94,	-90.00,	0.00
legionary_tent_right_flap_open,	-20.00,	26.49,	-90.00,	0.00
pile_of_logs,	14.73,	53.64,	-85.00,	0.00
pile_of_logs,	-8.47,	51.60,	-45.00,	0.00
pile_of_logs,	-4.46,	36.82,	-85.00,	0.00
pile_of_logs,	4.73,	36.56,	-105.00,	0.00

	;COLLISION OBJECTS

roman_camp_collision,	0,	0,	0,	0,

}
